Date,OPD_Count,ICU_Patients,Emergency_Cases
2026-01-01,120,15,20
2026-01-02,135,16,21
2026-01-03,142,18,23
2026-01-04,155,20,25
2026-01-05,170,19,28
2026-01-06,182,21,30
2026-01-07,195,22,31
2026-01-08,210,24,35
2026-01-09,225,25,36
2026-01-10,240,26,38
2026-01-11,250,28,40
2026-01-12,265,30,43
2026-01-13,280,31,45
2026-01-14,300,33,48
2026-01-15,320,35,50
2026-01-16,340,36,52
2026-01-17,360,38,55
2026-01-18,385,40,57
2026-01-19,410,42,60
2026-01-20,430,44,63
2026-01-21,450,46,66
2026-01-22,470,48,68
2026-01-23,495,50,70
2026-01-24,520,52,73
2026-01-25,545,54,75
2026-01-26,570,56,78
2026-01-27,600,58,80
2026-01-28,620,60,82
2026-01-29,640,62,85
2026-01-30,670,64,88
